18419	3.8659	-0.1238
18519	3.8647	-0.1235
18619	3.8631	-0.1238
18719	3.8619	-0.1238
18819	3.86	-0.1238
18919	3.8588	-0.1235
19019	3.8572	-0.1238
19119	3.856	-0.1238
19219	3.8547	-0.1238
19319	3.8529	-0.1235
19419	3.8516	-0.1238
19519	3.8504	-0.1238
19619	3.8488	-0.1242
19719	3.8476	-0.1235
19819	3.8461	-0.1238
19919	3.8445	-0.1238
20019	3.8433	-0.1242
20119	3.8417	-0.1238
20219	3.8402	-0.1235
20319	3.8389	-0.1235
20419	3.8374	-0.1238
20519	3.8361	-0.1242
20619	3.8346	-0.1235
20719	3.8333	-0.1235
20819	3.8321	-0.1235
20919	3.8306	-0.1238
21019	3.8293	-0.1238
21119	3.8278	-0.1235
21219	3.8265	-0.1238
21319	3.825	-0.1235
21419	3.8237	-0.1235
21519	3.8222	-0.1238
21619	3.8206	-0.1231
21719	3.8194	-0.1238
21819	3.8182	-0.1238
21919	3.8169	-0.1238
22019	3.8154	-0.1235
22119	3.8138	-0.1238
22219	3.8126	-0.1231
22319	3.8113	-0.1238
22419	3.8101	-0.1238
22519	3.8082	-0.1235
22619	3.8073	-0.1235
22719	3.8058	-0.1238
22819	3.8045	-0.1238
22919	3.8033	-0.1238
23019	3.802	-0.1238
23119	3.8005	-0.1235
23219	3.7989	-0.1231
23319	3.798	-0.1235
23419	3.7965	-0.1235
23519	3.7955	-0.1242
23619	3.7943	-0.1235
23719	3.7927	-0.1238
23819	3.7915	-0.1235
23919	3.7903	-0.1238
24019	3.789	-0.1242
24119	3.7878	-0.1238
24219	3.7862	-0.1235
24319	3.785	-0.1238
24419	3.7837	-0.1235
24519	3.7828	-0.1238
24619	3.7816	-0.1242
24719	3.7803	-0.1231
24819	3.7785	-0.1238
24919	3.7775	-0.1238
25019	3.7763	-0.1238
25119	3.7751	-0.1238
25219	3.7738	-0.1235
25319	3.7726	-0.1238
25419	3.771	-0.1235
25519	3.7698	-0.1238
25619	3.7689	-0.1242
25719	3.7676	-0.1235
25819	3.7664	-0.1238
25919	3.7651	-0.1235
26019	3.7636	-0.1235
26119	3.7627	-0.1242
26219	3.7614	-0.1238
26319	3.7602	-0.1238
26419	3.7589	-0.1242
26519	3.7577	-0.1235
26619	3.7565	-0.1238
26719	3.7549	-0.1238
